,dec,ra,psi,phase,redshift,mass_1,mass_2,geocent_time,luminosity_distance,theta_jn
40119,0.465942533,0.841222543,5.560370444,0.415663447,0.977543054,6.214411353,22.29947829,1130451812,6515.393846,1.327116589
39089,1.258333225,1.326081994,1.920116227,0.428522593,2.463732659,13.73408938,10.53768783,1126616730,20420.9806,2.855554406
29484,0.085232948,4.395049021,6.128416558,3.091539719,0.749174762,12.67507762,9.822618885,1117659985,4687.622578,0.891564945
93040,-0.521536127,2.132142919,0.323440314,3.968095319,4.935094166,12.56831355,9.844276583,1133524319,46935.92988,2.414431231
74909,-0.144564517,2.911467608,0.141090086,4.213165234,2.399198322,21.01541351,22.93033724,1127883763,19770.748,0.573857618
4135,0.149754444,4.960353376,3.82308245,4.421959453,4.672448011,7.253506426,5.280006315,1129607535,44005.80352,2.528062937
14007,-0.676188756,0.9863134,0.685429724,1.747764288,2.950078756,29.47368209,7.195210796,1126040277,25410.05579,1.023471872
65517,0.184166699,1.252435275,4.940583122,5.541528458,1.008055562,8.630071099,28.1991921,1113839623,6768.875128,0.66611578
58386,0.047175191,2.91727626,3.541934054,1.335837922,0.932930162,6.03707896,11.38755009,1120513749,6148.447908,0.768742648
71204,0.203754792,3.466765408,4.425355973,0.322221228,3.804302387,15.64968339,6.418528648,1124541818,34481.5722,0.790892323
9342,0.240457903,3.874567097,4.52139895,5.210987755,1.218350584,21.88249517,7.408438932,1108017928,8566.276026,1.455213138
75587,0.762146962,0.334579088,3.084378598,4.332318509,1.277012025,29.32256788,6.42190622,1110278468,9081.879292,1.908000988
38874,0.432387705,0.670374394,0.616432714,4.783746104,2.853816834,9.469553025,6.844792465,1119760174,24411.02674,2.051674663
66092,-1.071130736,0.45879053,2.646464705,0.30656407,1.205533757,5.438892165,54.35186369,1127534338,8454.396683,0.879769097
88567,1.02584111,1.465351066,5.639280887,2.759567667,1.00940531,19.48793528,6.058255444,1132859104,6780.133975,1.165279971
12890,0.092914493,5.113477068,2.100058519,5.630562235,2.960883506,5.628168017,12.34453238,1117673542,25522.51906,0.61458024
38676,-0.007247214,4.124368631,6.152888416,1.063197151,1.760139125,26.75078286,8.422504848,1124137694,13517.20755,1.140331511
76419,0.41748818,6.137360869,5.732602347,2.9051217,1.206164495,5.282477876,5.265769369,1119905422,8459.895819,2.289790927
50743,1.489378983,5.157152213,5.98308493,1.570645048,1.615675669,31.62941167,6.625408974,1126814238,12159.41011,1.396353248
19491,-0.545135584,1.946986447,5.968344034,0.618710491,2.645699106,8.300554687,17.64620089,1131326910,22270.0399,2.74083156
7703,0.88313628,5.84035206,3.017073842,1.197125833,1.876445981,10.75903045,51.64475752,1107014283,14627.09794,1.516174145
18787,0.75312661,1.538433987,2.172366296,3.916786483,3.932247832,17.20605396,7.677495944,1114545360,35868.0656,0.410619181
53933,-0.729396167,0.494029258,3.747783164,1.71801041,3.660428,7.27448431,5.05045389,1106578909,32930.36391,1.886756616
13684,0.141786182,2.38633497,4.970991981,1.122800814,3.702939347,9.542630406,18.18674234,1112228292,33387.81412,0.522706672
44627,0.239500806,4.905475043,5.176541614,1.525958143,0.818249099,15.12443818,8.387402115,1115952279,5226.631936,0.669855286
37568,0.178727659,5.102424179,0.192049572,2.833581812,1.324525969,8.785152819,5.455559555,1134682371,9503.609749,1.071229771
74511,0.054822703,6.202452471,3.681118709,1.096192995,1.184798,11.30500224,28.49862921,1110364996,8273.997147,1.24868909
36596,0.27159972,1.598840608,6.18361466,3.643226822,5.250933391,6.35631274,25.66815579,1125953538,50485.57507,0.751794736
46446,0.059092567,4.832457379,5.418116417,2.235996255,3.445556471,19.76472831,8.083230981,1109896620,30630.17706,2.250497046
97200,0.479075228,2.234850999,2.865142538,5.409911251,1.109378459,8.064205125,7.5103201,1118553754,7624.38377,2.300521679
41358,0.21513244,3.047219749,2.430349934,5.811031945,2.217184663,15.74456544,22.41950727,1110262945,17953.67717,1.005730267
72638,0.774244582,5.453936482,0.892702511,5.865378089,2.334648199,7.045671141,5.850970658,1114726554,19123.41824,2.182961617
72243,-0.644489949,4.997349371,2.660192646,0.198664908,3.303579472,34.74982426,14.75402019,1120518717,29121.84549,1.842660707
9870,-0.378763877,5.452693432,3.886380586,5.02089051,1.446709412,8.815159359,9.264991153,1124936970,10603.87195,2.614985079
73667,-1.198653755,0.359829114,5.372173721,4.222263711,1.070733985,7.293016328,13.32023607,1124275893,7295.674926,1.478232
55617,6.25E-06,1.054911232,3.576741863,2.011269903,0.668733845,5.220639556,14.81431868,1127068523,4076.897795,1.191129943
70188,1.177246272,4.553718844,4.802689644,4.770253858,1.412852732,24.76414683,20.33991474,1128985529,10296.80709,0.684345079
70935,0.657907128,0.686741661,1.262240665,0.059513943,1.043552194,19.7287067,6.251295101,1105170013,7066.232251,0.92971673
82880,-0.846014446,5.01301352,5.778154054,3.80805441,1.306639318,9.049258708,16.46179439,1129843124,9344.429114,2.292064829
16726,0.082328794,5.573200728,1.471708315,4.14839824,0.520396885,13.87907407,9.599775904,1123930380,3004.593245,1.17630196
3040,-0.822528838,5.562992086,3.34487612,1.470108837,4.649902669,25.33119626,5.324933222,1130707314,43755.25251,2.317774224
93430,0.282364333,4.081628202,4.640537433,0.370591577,1.484946478,24.88320029,12.83708723,1115977777,10952.58909,1.567604089
2225,-0.66232216,5.45486956,3.985150305,6.219330015,0.982178923,20.76391314,19.03852363,1108897213,6553.776909,1.440046295
42822,-1.307729476,0.348127186,6.097936459,3.094602276,1.666983081,20.35112834,32.10675704,1134985216,12638.86941,1.835385453
59857,-0.02138038,4.178297638,1.681372615,1.900543921,2.611309515,7.580241043,5.936263366,1122429503,21918.88594,1.945241041
52204,0.447819803,2.829708537,4.378237469,1.676274873,2.342227795,25.84815237,24.54059198,1115236129,19199.26672,1.272194481
7751,1.030436965,2.048009871,0.725696543,2.046019706,0.448783772,9.914461683,8.693477101,1107871896,2515.126877,0.459342483
58471,0.598701969,2.17324936,5.577227478,1.458449929,2.38953277,15.23378829,11.4849505,1130537987,19673.62113,1.704983985
53666,0.428930784,0.790986347,2.585696517,3.868536359,2.720857231,39.95807527,52.8331155,1123402068,23040.13011,1.471763137
16320,1.036813916,3.842291771,1.775451602,0.066142503,6.114979754,59.27531205,53.00687909,1115969293,60325.49307,0.974838256
89134,-0.921109739,5.448454541,3.501153975,2.029151508,1.746555727,7.803547295,58.35998409,1133996566,13388.5269,0.999116343
79764,0.425559672,5.028533648,4.221111539,5.916228328,2.631383739,10.53131517,37.73937304,1125503225,22123.77119,2.395259493
17276,0.765647547,2.480961693,1.458059396,1.254379545,3.654349662,36.58168101,5.187993435,1109396739,32865.01932,0.766453519
16890,-0.881721726,0.521402818,1.011834866,5.415238549,3.464674225,20.17576802,13.04823811,1131954505,30833.99745,2.31644354
43707,0.755530633,4.884487076,2.990004271,2.995248489,5.069258409,24.40930358,6.871764633,1126672885,48440.4119,2.005351325
91108,0.041045554,6.215650546,4.530835245,0.834091718,3.154942657,25.75891434,11.10991237,1128506891,27553.24316,1.959037557
67132,0.028356484,5.515667279,5.081851967,6.172705261,0.739484407,28.48397179,46.67499218,1116674002,4613.053813,1.558017518
52338,-0.495086835,1.806307237,5.694671478,5.181972918,5.469353234,20.32086071,11.76944631,1127946282,52955.8956,2.875110692
20936,-1.039980072,0.323982852,1.424319375,1.608423114,1.622736796,33.65723629,12.35012716,1128279886,12225.20752,1.893207122
28267,-0.714867502,5.332980188,2.736025965,4.079341505,0.544731697,13.25075317,12.67185421,1123338726,3175.310271,1.388195632
44796,-0.102359859,2.887053586,4.846635254,1.142508509,0.688846575,8.831198125,16.2579509,1132913343,4227.797466,2.438010117
78318,0.137425925,2.516438392,5.643395254,3.063302082,1.414088886,13.03905797,7.930656261,1108504780,10307.98974,0.998653342
29422,-0.92102755,2.644105975,0.152809183,5.305714877,2.20854536,16.61564756,5.97197077,1124672777,17868.07837,1.892851234
30066,0.266070126,4.803437486,2.212856402,1.458691826,0.262638847,11.71987259,6.986837027,1121783475,1344.263277,2.229760113
5396,0.566560243,0.011346153,3.28354926,3.737880425,1.293736341,31.51668552,39.36535832,1112347730,9229.913477,2.313546149
49237,0.752412969,4.173348512,3.816066916,4.210198806,2.300746273,22.53869591,16.38060559,1115566647,18784.70208,0.94967137
70620,-0.75169874,0.236643438,1.531588062,3.977437923,2.588203252,16.84853418,5.187988477,1117287902,21683.38307,2.665513527
6898,-0.192674005,0.444179458,5.777346205,0.922182188,2.50524174,5.208658107,17.77308432,1110124499,20840.78518,2.434452072
37882,-1.34606277,2.653275861,5.075477174,3.575824629,0.851451079,6.097781242,6.758801521,1106729835,5490.187369,1.82590042
92763,-0.427315443,5.840731435,0.919895627,3.506399987,1.123343022,9.153531798,5.463949319,1104187635,7743.871436,2.043982776
8944,0.74952937,5.886757594,5.297503055,2.984577857,3.032404376,5.641097373,6.704649917,1115669865,26268.58854,1.80337305
50920,-1.228962181,5.119625465,5.282112949,2.506613025,1.56649834,13.07743955,52.92751535,1128574935,11702.86773,1.096506764
22088,-0.910991017,4.758867739,3.015969845,6.168836569,0.820752961,7.611161886,12.19402591,1123947874,5246.408999,1.969826783
50293,0.851847458,2.268402747,1.627274528,0.15855542,1.083016509,15.17614503,6.770412852,1120851840,7399.834602,2.553915975
50705,-0.400371367,2.979636395,4.276271366,6.054835432,2.09736946,7.794094968,8.57856439,1129280247,16772.10083,1.429390899
47490,-0.158033791,1.447608166,0.772547481,0.478211914,2.076526763,6.485238185,8.414290757,1112824206,16567.81407,0.735360608
59219,-0.902629026,6.066184764,5.34248043,2.686919609,1.062538062,15.01257583,12.07238254,1124256080,7226.336859,0.700997874
79796,-0.225142045,4.450105821,0.68914653,2.092081054,3.644967074,9.423161134,14.25465535,1115155385,32764.18353,0.369675174
41563,-1.116109632,1.711012442,1.780917485,5.048600783,1.897620546,17.93779986,10.51369345,1122072211,14830.66363,0.919817857
25389,0.207485463,3.449388043,2.35657725,4.00354816,1.849861279,29.4343678,6.422197468,1113736266,14372.16224,1.341154533
24948,0.241584095,0.396284356,4.004452932,1.484415343,1.658690552,6.858356674,24.82463531,1109455982,12561.1648,2.35960547
77032,1.123281693,0.637218143,0.365388426,1.156812758,1.590136461,27.001119,27.45031715,1132810046,11921.93918,0.826487134
85936,0.069675387,3.906682173,1.175377435,0.893739546,2.73805506,10.40466503,11.80090289,1134150929,23216.84382,0.903439279
54992,-0.178976257,6.191161132,0.028286535,2.430169477,0.624926895,11.17734989,11.88787057,1105822821,3752.590262,0.871537371
75147,0.375743612,0.836215918,2.827881934,5.007954505,1.269857226,15.2494162,8.519837621,1115101403,9018.68726,2.998374686
42238,0.211725231,0.015794174,2.820936611,4.273057217,2.891143443,7.235609354,11.21397132,1135311109,24797.77897,1.613932119
93608,-0.40991338,4.65689482,3.668602926,2.218392447,2.130939631,7.735365563,16.53800586,1124839471,17101.93083,1.34264383
41169,-0.115679339,3.800008338,2.114788577,0.197913428,1.796103383,6.872904376,17.46831872,1104994967,13858.88068,0.860893516
69202,-0.184704176,3.204990664,4.1809103,2.914911865,0.729675878,6.885029433,7.354399073,1115127790,4537.847385,2.075119499
68448,1.125216481,5.943504941,1.967276855,5.08378675,1.86668055,21.54341686,13.74467383,1113327916,14533.36816,1.780810583
96016,-0.870124071,0.275937645,1.624756869,4.260269582,3.660484196,6.083810181,33.56466416,1121347160,32930.96812,2.005060154
46231,0.140086491,2.461241442,0.645107105,5.560966916,0.854823927,15.84628238,13.87236731,1115115785,5517.116856,1.571229371
66758,0.54394287,4.051232913,1.096008606,6.21404051,0.99946523,7.791354081,5.745312652,1110686913,6697.309719,1.240785815
61315,-1.039597167,2.112807691,1.347372599,1.546404748,1.23900526,5.853215742,13.55771184,1119284524,8747.163609,1.631957153
16347,0.469901913,5.313503809,4.378514289,3.022490334,1.370617936,10.23904803,37.55933939,1115450372,9916.073553,1.4970248
39947,0.069627492,6.20560972,0.926891598,2.402277479,1.624742206,5.91759682,5.426590426,1116331731,12243.90548,1.794483224
68567,-0.254845687,2.81813516,5.389955238,2.598026797,1.515648396,25.8097301,50.79195705,1121983110,11234.02234,1.768714656
72532,0.172504189,1.752342556,4.512090426,2.414356557,1.847003593,7.909613531,7.705501369,1121008086,14344.80127,1.071458786
39714,0.151420937,1.685165578,4.82868556,5.186716006,1.162173695,5.452554522,42.73709651,1125003515,8078.035759,1.549149708
78296,-0.071011064,6.112375671,6.012976882,1.366235257,0.756644826,6.631130392,25.07465618,1121548173,4745.286073,1.852735658
51548,0.352650164,2.772288689,3.762001651,6.268023462,0.997335018,14.6385456,33.23678181,1120141555,6679.587368,1.296778743
59686,0.32566746,5.523077054,1.012353059,1.760095282,1.155040415,55.48075734,9.678064478,1120237457,8016.441513,0.199584099
63890,-0.77946657,3.474221457,3.309649473,1.99921888,1.046670638,6.172199649,6.298597716,1134409047,7092.47957,1.205045532
42774,-0.493176448,0.817020237,4.036239142,1.206876218,2.30424843,25.33967258,18.99047809,1118269597,18819.65132,2.585369567
26887,-0.817271877,4.393860998,4.469490658,1.079082225,1.689353754,9.565781071,30.62982275,1105701609,12848.89309,2.425317854
67363,0.941877048,6.051941052,4.116465956,3.682053315,1.675838336,32.41609882,10.81032849,1110594517,12721.93602,0.715737562
93773,-0.753298525,3.142580305,3.004278449,2.160208172,2.049341565,11.23530872,19.66657386,1104933777,16301.94128,1.598728432
88229,0.88252598,3.102090669,5.037974533,3.322624699,5.125480624,23.7400184,24.68559444,1127563233,49072.36401,1.107296282
21366,1.259035151,5.428167368,3.818889892,5.234519738,1.677797875,9.740235903,22.35453627,1120083578,12740.32981,0.563287365
43062,0.871304911,3.360715726,4.653835009,3.754245041,1.743306866,9.297791364,18.43942324,1125938894,13357.77936,1.406593468
1173,-0.035892384,4.064392968,1.138333901,5.746355852,1.431605122,17.14918441,12.61198042,1132946732,10466.68216,1.116782488
42735,0.479541172,1.771135505,2.395751858,1.830585318,2.93941972,25.37531896,10.20681941,1115026577,25299.17346,0.947828269
72414,0.604049489,0.683224944,5.793732887,1.399283942,2.266129558,17.68446907,18.91307354,1104596981,18439.76469,0.598375396
65521,-0.396586157,4.381867757,5.421887035,2.284224074,4.326227332,38.0618559,7.831931371,1130172745,40176.06587,1.44807366
27157,1.224438073,2.42772468,0.938887901,3.709175252,1.616789623,6.981811635,25.93494206,1119515446,12169.78618,2.23816078
49424,0.887757691,2.827234842,5.286014763,4.026512642,1.042972358,18.64783414,7.466615331,1121746086,7061.354068,1.136082654
62563,0.180697833,3.313131458,1.72585689,4.466604261,3.690315065,8.92618963,6.902437064,1134436217,33251.88919,1.190520478
13021,-0.806037948,3.781792066,5.306521906,4.984055228,3.825969473,18.84234098,14.27726843,1130020610,34715.91329,0.465274656
66361,-0.791556896,5.697075475,0.346400645,3.816001015,1.066002574,8.218116911,11.82483906,1107413688,7255.630565,1.026956267
69429,0.776899012,4.828375376,5.317711303,2.930127237,1.453772436,5.200387012,7.434245815,1114579696,10668.13389,1.338632381
60756,-0.215487468,2.778820816,1.626442373,0.993311818,3.762776543,6.05110783,7.12597469,1107429125,34032.97827,1.682046971
81930,0.726924988,3.230422879,3.056800126,5.198313974,0.956225406,22.68931261,5.464856314,1105150819,6339.499497,1.585831821
76605,-0.788772876,0.771250935,1.246406875,1.535123304,1.191131808,9.213735964,11.96490732,1119085818,8329.020808,2.034650772
18624,-0.571754616,3.065277086,2.311383805,5.322638696,0.6680384,58.59668508,9.006840149,1112172091,4071.702245,2.747556199
9476,-1.357051943,2.799287508,1.734434763,5.698207885,0.763861986,6.075085546,24.76043648,1133197771,4801.144968,0.789102926
31285,-0.264257465,5.293211011,1.773751957,4.416671295,2.690835635,5.364368908,31.46265726,1116637072,22732.09086,0.560606077
98660,0.37035176,5.052534269,4.73709903,2.763101441,0.605098813,8.22104901,5.247296594,1111159660,3607.833078,1.38666332
5349,-0.028262498,2.647933394,1.218740737,0.426053222,1.045976408,25.30279656,23.00146906,1109022456,7086.634668,2.289168211
1256,0.449859422,0.860066648,2.085139677,3.698684256,2.880620231,12.54583549,10.93815556,1114685066,24688.66291,1.740480977
65326,-0.439864269,4.434437544,1.306734986,1.07837566,3.867888714,6.223267084,5.328107153,1128439098,35169.82439,1.83411076
56190,-0.959557926,6.055227984,3.435513606,4.779059077,2.923500744,5.095342715,21.24332404,1129243469,25133.69322,1.944672795
81738,-0.928378911,3.072301862,0.712548034,4.211206818,2.454180244,48.01060387,5.746803143,1118213743,20324.54386,2.419801071
8373,-0.373438404,3.1685851,4.067148353,2.659181828,2.230749436,34.45788267,6.512330607,1127461361,18088.20033,2.47115419
42567,0.872340774,4.654070963,2.941073511,1.85518783,0.59705819,14.32826773,14.83456593,1117126284,3549.502921,2.139069022
40532,1.083568533,1.293935186,2.535891788,5.65197953,1.630806911,6.128774048,11.94726366,1105906685,12300.48096,1.578040961
71623,0.182168165,1.722544053,1.599853517,2.083099834,2.034815422,5.451560235,5.636576417,1130762909,16160.14705,2.243233637
94090,0.15823346,0.720108525,4.178126397,1.52257266,4.955270079,9.266474662,6.169752561,1118133585,47161.85199,1.218227716
81735,0.788516265,2.140309705,0.013418016,2.479364019,1.44688319,7.68584352,29.16463974,1113877822,10605.45221,2.447180394
6478,-0.594193493,2.75049579,6.062651508,5.497560647,1.559021285,38.16393462,5.924460087,1134392488,11633.71927,2.224909108
14807,-1.203185059,4.70806366,0.022715629,3.518940607,2.36871416,12.25479684,8.386858539,1131999350,19464.65465,2.270687399
2554,-0.98213644,5.604081456,5.228568152,5.143390336,1.026434469,12.80683542,5.673547645,1134247492,6922.510079,2.604520801
68038,0.781488675,2.13790878,0.272781247,3.708784542,1.818966224,8.349821686,8.789322284,1120700702,14076.80548,0.976969574
9320,0.735958955,4.195882562,3.402189412,2.458752376,4.433822458,12.27879033,17.32298131,1125672274,41362.05104,2.538823202
51710,0.465693985,5.00955563,3.934517592,2.698342987,1.315105888,37.32785329,8.87865883,1127558501,9419.71411,2.603547454
91886,0.906925872,4.410447817,1.230757386,5.312112571,5.445492375,10.90685765,18.07101692,1122292401,52685.43755,0.670468413
74185,0.627371768,0.810938764,0.113996123,4.469360596,1.518682271,16.59312279,8.047206786,1109208883,11261.90083,2.621589684
15517,-0.938423447,2.089122443,0.533284166,2.683396206,0.80168535,9.695474364,5.154780638,1127967854,5096.213259,2.817185982
50578,-0.505840693,3.38117264,0.243484848,4.688337567,2.336042027,6.42054144,20.17895396,1132391342,19137.3629,0.815290432
9720,-0.174863113,2.837948506,0.394706362,1.76691096,1.124302065,32.84789365,15.65493932,1135579636,7752.090981,2.205448107
47743,0.039814078,6.232996284,6.146918025,4.301221121,2.026402392,13.59760201,9.772951094,1111390455,16078.11245,1.543941486
61000,-0.94282978,2.470734517,6.270722887,0.547916383,7.660585539,39.33459694,8.247023788,1111325434,78313.53403,1.384194773
93293,0.50530844,1.123860882,2.486547343,0.306323915,2.189087581,36.70823688,6.320920802,1122283101,17675.51345,1.112394185
47902,0.629773429,1.515650288,4.899989839,3.96411457,1.140932511,6.107463714,5.978601189,1109170123,7894.896449,0.638157003
14552,-0.615200184,1.389356667,1.34357104,3.581197492,1.230645665,31.66356786,16.62749636,1114572547,8673.865577,0.587802304
32297,0.836134705,5.208194955,2.810782624,3.236362381,3.278174938,11.34929966,9.802959034,1113959581,28852.96848,1.709458574
65729,0.568978442,1.245858552,4.784584185,2.838267236,1.040284994,5.213020077,5.838425611,1122681467,7038.754113,2.591870429
77322,-0.129973484,1.734547305,3.391814723,3.384893276,1.766568204,6.226917731,19.06927769,1116057262,13578.18319,1.717027235
32612,-0.341523142,0.74387512,0.697534599,4.50740062,1.310117284,44.9453438,7.687973494,1123997147,9375.34164,1.374969122
18872,-0.310002135,1.763056445,4.216003055,0.242276224,3.403228016,20.70429479,13.18210689,1120330733,30179.49848,2.018709863
78403,-0.766110283,2.263388256,0.933825404,0.494784173,0.11586099,13.43779828,33.8450658,1105013299,542.7016232,1.56718788
85659,-0.625819804,5.244964394,3.128878902,5.981960976,0.996480383,9.883884143,32.11058311,1122496237,6672.47993,2.340743867
10909,0.41341297,3.6010017,0.663993306,5.113041274,1.378943719,47.75833338,16.91059357,1124930393,9990.920357,2.044993844
59245,0.607704515,0.214136666,3.324330268,3.395824473,2.55796211,34.66953373,8.321863226,1105273071,21375.6981,1.778236324
91531,-0.875740823,1.58789446,1.563923991,5.670299336,3.369286632,6.316153959,23.93777237,1105051067,29818.72137,1.619918702
50437,0.743680611,3.51473897,2.910759127,6.05045238,1.272843506,6.389406547,12.90700161,1106828019,9045.052302,1.166821752
15817,-0.359192431,0.62797562,3.115150682,2.373993108,0.827790655,20.23240083,29.9007862,1106864498,5302.08387,1.681055174
35934,-0.404376643,2.169584678,3.556560614,1.339430866,1.305224626,12.92302692,20.07786154,1122998631,9331.860639,2.319882428
77129,1.27911494,1.275999591,4.177371491,4.952583025,3.471998808,16.41925168,15.94916942,1127605779,30912.13132,2.513509896
59134,0.710953204,5.579003426,4.116575266,5.846676631,2.278905349,52.43897462,5.367809299,1127814479,18566.95933,1.230762892
38736,-0.157485302,5.666887455,0.489298857,3.172160643,5.559257706,48.07467904,5.219405482,1110969551,53976.21807,2.230399452
62723,0.33215446,2.661325806,5.278028001,2.321418314,1.529965112,8.150307231,5.558824114,1120853731,11365.68576,2.283068094
94649,-0.509396786,3.130539935,3.949351011,3.131028424,1.631177353,36.52795017,7.068526705,1125330342,12303.93812,1.817616375
40205,0.126386989,4.711329084,3.719736217,0.849350612,1.848904685,12.62676815,13.12213331,1113181513,14363.00237,2.016165032
46197,1.000454551,3.885416078,3.56242292,1.850497276,1.385079453,5.251215763,18.10724779,1124287681,10046.14489,2.295007569
60154,-0.127605219,0.10415521,3.86969183,5.922173531,6.983027919,8.602464221,22.7072777,1104544203,70374.02078,0.930988035
65236,-0.610102958,2.673515494,2.239230737,3.07754237,0.728983521,20.86128507,13.5233405,1115771497,4532.549179,1.923951719
5338,-0.05931694,4.702592567,4.669300118,0.988473354,1.26920889,10.62205533,15.66065041,1105344398,9012.965196,0.896343142
35625,-1.282924965,3.23465274,0.017211779,3.871826594,0.221990864,31.74651789,12.08206452,1123359562,1110.561123,2.623250509
51803,-0.335577033,4.460000085,2.506428145,0.248652389,0.847737258,8.173329184,5.785376305,1127620763,5460.568412,0.469428662
27415,0.920210979,4.185582442,3.978650869,1.439220252,0.75517407,6.101408907,7.221770519,1123374309,4733.920568,0.890491569
95388,-0.325395844,3.033504391,4.993399028,2.41263839,4.220596316,5.734412924,6.766775743,1120387356,39015.56811,1.140748481
85593,0.202328676,3.715414348,2.569422883,3.588089611,1.73609157,45.87411875,13.1650486,1121105674,13289.53497,1.818868731
96892,1.436411201,1.061243188,4.727542478,4.918152944,0.461369974,16.71667676,38.732171,1135309225,2599.706571,1.487916442
94187,-0.251433231,4.981131443,2.280979991,0.548870744,1.800229354,5.614572812,5.002227982,1104446047,13898.16777,1.888916318
7196,0.21789266,5.735866487,5.848056681,5.616043012,0.899515566,5.459800876,16.30229893,1105042590,5876.579702,2.202882736
58493,-0.750532211,2.117694621,1.086908785,3.035941322,1.751038648,6.515561339,27.74594872,1121942691,13430.97285,1.066026295
96828,0.073661426,5.322261052,4.285017073,3.114959045,2.625576536,11.92012398,5.395036346,1122394902,22064.47353,1.84544034
44655,-0.448739401,1.041088456,6.180464297,5.074024993,1.684697674,6.74734833,5.002791186,1106341323,12805.13232,1.170900923
32730,-0.590835471,6.061679705,5.020006649,4.829719473,1.034912241,10.87278422,13.98912652,1110323168,6993.615099,2.17819281
45382,-0.261809944,2.876102989,2.780569889,0.37021045,2.42097321,40.0622323,11.25382476,1115664615,19989.80974,1.565238966
32800,-0.484965377,0.67055931,4.729026679,2.451841811,1.702946087,21.85894731,16.68020501,1115978162,12976.78507,1.097583275
22382,-0.038432717,3.90144753,2.680306749,6.23322246,2.00036441,5.120597328,41.27300095,1134691446,15824.63035,1.256930824
67907,0.156398108,5.632049218,0.409577515,4.30679373,4.057024845,57.8644115,37.76067894,1108224163,37226.31579,2.45988808
67311,0.247299276,4.085200686,1.096013763,2.356737257,3.08829509,15.14105962,12.15320175,1132746773,26853.54596,2.361845363
28846,-0.407306832,4.608575987,6.152410164,0.526840311,5.358004189,6.126958784,10.81924963,1126959186,51695.0091,1.267048042
54963,0.318430966,2.587298007,0.571674992,3.328314359,2.783590566,17.52769241,45.36932673,1128818403,23685.61711,1.263800923
68625,-0.764843026,6.090012024,5.406164604,4.573753319,6.573074387,6.581210983,5.073007688,1115177253,65609.91379,1.413524205
54441,0.64689534,5.981556458,1.426276186,1.439057041,1.669382253,7.017051931,17.73958088,1134649175,12661.36576,2.459873232
71793,-0.168223495,0.237756336,5.246061455,4.399382971,3.085292672,6.022996165,51.21618069,1122491695,26822.08002,2.641780235
